timestamp,recording,method,ica1_pca_n_components,ica1_maternal_ic_index,path_a_selected_ic_index,path_a_selected_ic_peak_count,path_a_selected_ic_hr_bpm,path_a_selected_ic_is_valid,path_a_selected_ic_stability,path_a_selected_ic_score,ica2_pca_n_components,ica2_excluded_maternal_residual_ic_index,path_b_selected_ic_index,path_b_selected_ic_peak_count,path_b_selected_ic_hr_bpm,path_b_selected_ic_is_valid,path_b_selected_ic_stability,path_b_selected_ic_score,chosen_path_description,chosen_ic_index,chosen_ic_hr_bpm,chosen_ic_peak_count,chosen_ic_selection_score,chosen_ic_stability,low_confidence,confidence_gate_threshold,harmonic_confusion,sparse_annotation,ekf_used,final_peak_count,final_hr_bpm
20260624_133318,a01,PHASE_cinc2013_metadata,3.0,2.0,0.0,145.0,148.0174,1.0,0.4003,0.5403,3.0,1.0,2.0,144.0,146.495,1.0,0.6002,0.6311,B_WSVD_ICA2_IC3_146bpm,2.0,146.495,144.0,0.6311,0.6002,0.0,0.3,0.0,0.0,1.0,144.0,146.4135
20260624_133318,a02,PHASE_cinc2013_metadata,3.0,1.0,2.0,126.0,127.474,1.0,0.5004,0.4793,3.0,1.0,2.0,126.0,127.4963,1.0,0.601,0.4533,A_ICA1_direct_IC3_127bpm,2.0,127.474,126.0,0.4793,0.5004,0.0,0.3,0.0,0.0,1.0,126.0,127.4776
20260624_133318,a03,PHASE_cinc2013_metadata,3.0,2.0,1.0,127.0,131.3588,1.0,0.9995,0.2989,3.0,2.0,0.0,119.0,123.5549,1.0,0.4018,0.5916,B_WSVD_ICA2_IC1_124bpm,0.0,123.5549,119.0,0.5916,0.4018,0.0,0.3,0.0,0.0,1.0,119.0,123.5546
20260624_133318,a04,PHASE_cinc2013_metadata,3.0,2.0,1.0,130.0,131.1147,1.0,0.4001,0.988,4.0,1.0,3.0,122.0,126.0384,1.0,0.4,0.7977,A_ICA1_direct_IC2_131bpm,1.0,131.1147,130.0,0.988,0.4001,0.0,0.3,0.0,0.0,1.0,130.0,131.2448
20260624_133318,a05,PHASE_cinc2013_metadata,3.0,1.0,0.0,129.0,129.3419,1.0,0.4,0.7436,4.0,1.0,2.0,125.0,126.6091,1.0,0.6003,0.8447,B_WSVD_ICA2_IC3_127bpm,2.0,126.6091,125.0,0.8447,0.6003,0.0,0.3,0.0,0.0,1.0,125.0,126.6106
20260624_133318,a06,PHASE_cinc2013_metadata,3.0,1.0,2.0,131.0,141.9957,1.0,1.0,0.4129,3.0,1.0,0.0,131.0,141.7739,1.0,1.0,0.4159,B_WSVD_ICA2_IC1_142bpm,0.0,141.7739,131.0,0.4159,1.0,0.0,0.3,0.0,0.0,1.0,133.0,143.2923
20260624_133318,a07,PHASE_cinc2013_metadata,3.0,1.0,2.0,114.0,134.4717,1.0,0.6024,0.1995,3.0,0.0,2.0,118.0,136.5581,1.0,0.4023,0.2502,B_WSVD_ICA2_IC3_137bpm,2.0,136.5581,118.0,0.2502,0.4023,1.0,0.3,0.0,0.0,1.0,118.0,135.8821
20260624_133318,a08,PHASE_cinc2013_metadata,3.0,2.0,3.0,128.0,127.7946,1.0,0.6,1.0725,3.0,0.0,1.0,126.0,126.6305,1.0,0.6,1.323,B_WSVD_ICA2_IC2_127bpm,1.0,126.6305,126.0,1.323,0.6,0.0,0.3,0.0,0.0,1.0,126.0,126.6301
20260624_133318,a09,PHASE_cinc2013_metadata,3.0,1.0,0.0,103.0,125.3802,1.0,0.6006,0.1798,3.0,0.0,2.0,115.0,129.5696,1.0,0.4012,0.1875,B_WSVD_ICA2_IC3_130bpm,2.0,129.5696,115.0,0.1875,0.4012,1.0,0.3,0.0,0.0,1.0,115.0,129.92
20260624_133318,a10,PHASE_cinc2013_metadata,3.0,1.0,2.0,148.0,157.1741,1.0,1.0,0.3831,3.0,1.0,0.0,147.0,156.4798,1.0,1.0,0.3836,B_WSVD_ICA2_IC1_156bpm,0.0,156.4798,147.0,0.3836,1.0,0.0,0.3,0.0,0.0,1.0,149.0,158.367
20260624_133318,a11,PHASE_cinc2013_metadata,3.0,1.0,2.0,103.0,130.2563,1.0,0.6018,0.1606,3.0,1.0,0.0,111.0,128.0863,1.0,0.6008,0.1093,A_ICA1_direct_IC3_130bpm,2.0,130.2563,103.0,0.1606,0.6018,1.0,0.3,0.0,0.0,1.0,101.0,129.3656
