timestamp,recording,method,ica1_pca_n_components,ica1_maternal_ic_index,path_a_selected_ic_index,path_a_selected_ic_peak_count,path_a_selected_ic_hr_bpm,path_a_selected_ic_is_valid,path_a_selected_ic_stability,path_a_selected_ic_score,ica2_pca_n_components,ica2_excluded_maternal_residual_ic_index,path_b_selected_ic_index,path_b_selected_ic_peak_count,path_b_selected_ic_hr_bpm,path_b_selected_ic_is_valid,path_b_selected_ic_stability,path_b_selected_ic_score,chosen_path_description,chosen_ic_index,chosen_ic_hr_bpm,chosen_ic_peak_count,chosen_ic_selection_score,chosen_ic_stability,low_confidence,confidence_gate_threshold,harmonic_confusion,sparse_annotation,ekf_used,final_peak_count,final_hr_bpm
20260622_160257,a01,PHASE_cinc2013_metadata,3.0,2.0,0.0,128.0,137.0588,1.0,1.0,0.2701,3.0,1.0,0.0,144.0,147.3493,1.0,0.6,0.3212,B_WSVD_ICA2_IC1_147bpm,0.0,147.3493,144.0,0.3212,0.6,0.0,0.05,0.0,0.0,1.0,144.0,147.3552
20260622_160257,a02,PHASE_cinc2013_metadata,3.0,1.0,2.0,126.0,127.474,1.0,0.5004,0.4109,3.0,1.0,2.0,126.0,127.4975,1.0,0.6006,0.4147,B_WSVD_ICA2_IC3_127bpm,2.0,127.4975,126.0,0.4147,0.6006,0.0,0.05,0.0,0.0,1.0,126.0,127.4989
20260622_160257,a03,PHASE_cinc2013_metadata,3.0,2.0,0.0,127.0,132.5944,1.0,0.9995,0.2783,3.0,2.0,1.0,119.0,123.5549,1.0,0.4017,0.5247,B_WSVD_ICA2_IC2_124bpm,1.0,123.5549,119.0,0.5247,0.4017,0.0,0.05,0.0,0.0,1.0,119.0,123.5549
20260622_160257,a04,PHASE_cinc2013_metadata,3.0,2.0,1.0,130.0,131.1147,1.0,0.4001,0.8418,4.0,0.0,1.0,123.0,126.4358,1.0,0.4,0.8568,B_WSVD_ICA2_IC2_126bpm,1.0,126.4358,123.0,0.8568,0.4,0.0,0.05,0.0,0.0,1.0,123.0,126.4273
20260622_160257,a05,PHASE_cinc2013_metadata,3.0,1.0,2.0,128.0,128.6987,1.0,0.4,0.6884,4.0,1.0,2.0,123.0,125.8071,1.0,0.4,0.7902,B_WSVD_ICA2_IC3_126bpm,2.0,125.8071,123.0,0.7902,0.4,0.0,0.05,0.0,0.0,1.0,123.0,125.8063
20260622_160257,a06,PHASE_cinc2013_metadata,3.0,1.0,0.0,111.0,120.6911,1.0,0.4003,0.1114,3.0,1.0,0.0,115.0,126.3514,1.0,0.6001,0.0832,A_ICA1_direct_IC1_121bpm,0.0,120.6911,111.0,0.1114,0.4003,1.0,0.05,1.0,0.0,1.0,111.0,120.7061
20260622_160257,a07,PHASE_cinc2013_metadata,3.0,1.0,0.0,93.0,123.4739,1.0,0.4002,0.1625,4.0,3.0,1.0,113.0,129.416,1.0,0.9999,0.2244,B_WSVD_ICA2_IC2_129bpm,1.0,129.416,113.0,0.2244,0.9999,0.0,0.05,0.0,0.0,1.0,112.0,128.745
20260622_160257,a08,PHASE_cinc2013_metadata,3.0,2.0,1.0,128.0,127.9259,1.0,0.4,0.8113,3.0,0.0,1.0,128.0,127.9032,1.0,0.6001,0.7587,B_WSVD_ICA2_IC2_128bpm,1.0,127.9032,128.0,0.7587,0.6001,0.0,0.05,0.0,0.0,1.0,128.0,127.908
20260622_160257,a09,PHASE_cinc2013_metadata,3.0,1.0,0.0,98.0,101.3527,1.0,0.323,0.0,3.0,0.0,1.0,116.0,126.6701,1.0,0.3007,0.094,B_WSVD_ICA2_IC2_127bpm,1.0,126.6701,116.0,0.094,0.3007,0.0,0.05,0.0,0.0,1.0,116.0,126.6899
20260622_160257,a10,PHASE_cinc2013_metadata,3.0,1.0,0.0,130.0,137.9579,1.0,0.6002,0.1793,3.0,1.0,0.0,131.0,138.6766,1.0,0.4002,0.1769,B_WSVD_ICA2_IC1_139bpm,0.0,138.6766,131.0,0.1769,0.4002,0.0,0.05,0.0,0.0,1.0,130.0,137.7953
20260622_160257,a11,PHASE_cinc2013_metadata,3.0,1.0,0.0,111.0,120.0928,1.0,0.3186,0.0693,3.0,1.0,2.0,90.0,112.0146,1.0,1.0,0.2554,B_WSVD_ICA2_IC3_112bpm,2.0,112.0146,90.0,0.2554,1.0,0.0,0.05,0.0,0.0,1.0,88.0,110.4588
20260622_160257,a12,PHASE_cinc2013_metadata,3.0,2.0,0.0,134.0,136.8652,1.0,1.0,0.4475,3.0,2.0,1.0,133.0,135.4018,1.0,0.4051,0.5225,B_WSVD_ICA2_IC2_135bpm,1.0,135.4018,133.0,0.5225,0.4051,0.0,0.05,0.0,0.0,1.0,133.0,135.4018
20260622_160257,a13,PHASE_cinc2013_metadata,3.0,2.0,1.0,120.0,131.198,1.0,1.0,0.3142,3.0,1.0,0.0,120.0,123.1471,1.0,1.0,0.4546,B_WSVD_ICA2_IC1_123bpm,0.0,123.1471,120.0,0.4546,1.0,0.0,0.05,0.0,0.0,1.0,120.0,123.1472
20260622_160257,a14,PHASE_cinc2013_metadata,3.0,2.0,1.0,116.0,123.58,1.0,0.9999,0.4282,3.0,2.0,1.0,115.0,119.1376,1.0,0.4034,0.5232,B_WSVD_ICA2_IC2_119bpm,1.0,119.1376,115.0,0.5232,0.4034,0.0,0.05,0.0,0.0,1.0,115.0,119.1394
20260622_160257,a15,PHASE_cinc2013_metadata,3.0,2.0,0.0,134.0,134.895,1.0,0.3021,0.9096,4.0,0.0,2.0,132.0,133.7015,1.0,1.0,1.0451,B_WSVD_ICA2_IC3_134bpm,2.0,133.7015,132.0,1.0451,1.0,0.0,0.05,0.0,0.0,1.0,132.0,133.7122
20260622_160257,a16,PHASE_cinc2013_metadata,3.0,1.0,0.0,110.0,121.4941,1.0,0.6015,0.1201,4.0,0.0,1.0,101.0,113.3765,1.0,0.6,0.1072,A_ICA1_direct_IC1_121bpm,0.0,121.4941,110.0,0.1201,0.6015,0.0,0.05,0.0,0.0,1.0,110.0,121.4634
20260622_160257,a17,PHASE_cinc2013_metadata,3.0,2.0,1.0,132.0,132.2187,1.0,0.4,0.8109,4.0,0.0,2.0,122.0,126.5529,1.0,0.6002,0.7196,A_ICA1_direct_IC2_132bpm,1.0,132.2187,132.0,0.8109,0.4,0.0,0.05,0.0,0.0,1.0,132.0,132.2586
20260622_160257,a18,PHASE_cinc2013_metadata,3.0,1.0,0.0,111.0,111.5876,1.0,0.891,0.3394,3.0,1.0,2.0,111.0,111.5884,1.0,0.6002,0.3134,B_WSVD_ICA2_IC3_112bpm,2.0,111.5884,111.0,0.3134,0.6002,0.0,0.05,0.0,0.0,1.0,111.0,111.588
20260622_160257,a19,PHASE_cinc2013_metadata,3.0,2.0,1.0,110.0,124.6204,1.0,1.0,0.2558,3.0,1.0,2.0,120.0,123.3896,1.0,1.0,0.4806,B_WSVD_ICA2_IC3_123bpm,2.0,123.3896,120.0,0.4806,1.0,0.0,0.05,0.0,0.0,1.0,120.0,123.3896
20260622_160257,a20,PHASE_cinc2013_metadata,3.0,2.0,1.0,129.0,140.7859,1.0,1.0,0.2069,3.0,1.0,0.0,123.0,127.7323,1.0,1.0,0.4895,B_WSVD_ICA2_IC1_128bpm,0.0,127.7323,123.0,0.4895,1.0,0.0,0.05,0.0,0.0,1.0,123.0,127.7368
20260622_160257,a21,PHASE_cinc2013_metadata,3.0,2.0,0.0,124.0,135.0524,1.0,1.0,0.1775,3.0,1.0,0.0,121.0,133.1059,1.0,0.4,0.1531,A_ICA1_direct_IC1_135bpm,0.0,135.0524,124.0,0.1775,1.0,0.0,0.05,0.0,0.0,1.0,125.0,135.5764
20260622_160257,a22,PHASE_cinc2013_metadata,3.0,2.0,1.0,126.0,125.3701,1.0,0.4,1.0788,3.0,0.0,1.0,126.0,125.3683,1.0,0.6,1.0543,B_WSVD_ICA2_IC2_125bpm,1.0,125.3683,126.0,1.0543,0.6,0.0,0.05,0.0,0.0,1.0,126.0,125.3705
